"statement","truth_score"
"The PS5 pro has the following specs: WIFI 7, 2 Terabytes SSD, USB-C Hi-Speed, SuperSpeed 10Gbps USB-C, two 10GBPS USB-A in the back, HDMI 2.1 output, one Ethernet port, Bluetooth 5.1, 390W Power rating, the following approximate dimensions: 388mm x 89mm x 216mm, 16GB GDDR6, 2 GB DDR5, Approximately 3.1kg, 8 core CPU, 16 Thread CPU, 16.7 TFLOPS, Up to 4k resolution, a 4nm GPU, 256 bit bus width.","1.00"
"The Xbox series X has the following specs: 52 compute units, RDNA 2, 360.45mm^2 die, USB 3.2, 8 cpu cores, Zen 2, 16GB GDDR6, 7nm, 1.825Ghz GPU clock, 1 terabyte ssd, PCIE 4.0, the following approximate dimensions:301mm x 151mm x 151mm, 4K Blu-Ray Drive, 4.8gbps Compressed I/O throughput, VR support, Dolby Vision support, 4k output, HDMI 2.1, 120fps support, FP32.","0.95"
"The Kodak RTX 2070 Super Elsa has the following specs: 2060 cuda cores, 1605Mhz base clock, 1780Mhz boost clock, GDDR5 video memory, 8GB, PCIE 3.0x16, 215W TDP, 3 display port 1.4a ports, the following model number: GD2070-8GERSES,  one 8 pin power connection, one 6 pin auxiliary power connector, the following approximate dimensions: 267mm x 114mm x 41mm,  one HDMI 2.0b, includes 2 year warranty. Built in RGB,  3 fans,  545mm^2 Die, 12nm process, 2560 cores. Released in 2020. ","0.80"
"The Intel® Xeon® Platinum 8180 has the following specs: 14nm process, 28 cores, 56 threads, 3.80ghz turbo clock, 2.50ghz base clock, 38.5mb L3 cache, 205 watt TPD, max memory speed of 2666Mhz, max of 6 memory channels, max of 48 pcie lanes, FCLGA3647 socket,  two AVX-512 FMA Units, turbo boost 2.0, PCIE 3.0, 76.0mm x 56.5mm Package, Hyperthreading, Does not support optane memory,  Intel 64, Intel Speed Shift Technology, Intel Trusted Execution Technology. ","1.00"
"The ryzen 7 4800U has the following specs: 156mm^2 die, 8nm process, 25w Default tdp, 8 cores, 16 threads, Integrated graphics, PCIE GEN 3, Dual Channel Memory, 8MB L3 cache, 4.2 ghz max turbo clock, LPDDR4X memory support, FP6 Socket, x86, Zen 2, 64gb max memory, 512 GPU shaders, 32 Texture Units, 8 Rop Units, 100Mhz Bus Frequency, 105C max operating temperature.
","0.90"
"The Nikon Df has the following specs: CMOS sensor, 4992 x 3292 resolution, 23.9 x 36 senor, RGB color array, Mechanical Shutter, 1330mAh Battery, LED display, 19 autofocus points, 15 bits per pixel, 2006-pixel RGB sensor, fully automatic diaphragm, 50mm focal length, Type G AF-S Lens, Full aperture, Single-lens reflex, 16.2 million effective pixels, supports JPEG file format, Instant return lens aperture, 10mm Eyepoint, Manual Focus support.","0.70"
"The Canon PowerShot SX200 has the following specs: approximately 5.1 million effective pixels, Mechanical shutter, ⅓ stop increments, Red eye reductions, 2.6 frames per second continuous shooting, 0 - 45 C operating temperature, Super Macro focus, Manual Focus, CCD image sensor, LED Display, 1.0 inch monitor, 72% picture coverage, 9.0x digital zoom, max 9 meter flash range, electronic shutter, Self timer, Superfine compression, Movie mode, color swap mode, Easy shooting mode.","0.60"
"The Nikon Z6III has the following specs: 24.5 million effective pixel, Nikon Z mount, DCF 2.0 file system, CMOS sensor, 30.9 × 21.9 mm senor dimensions, 5-axis image sensor shift, TTL metering, NEV file format support, 0.335cm tripod socket, 20.79 million total pixels, OLED viewfinder, −4 – +2 m^-1 diopter adjustment, 8cm monitor, single frame release mode, HDR overlay, 273 single point af focus points, fine tuning white balance, AAC audio, 3.5mm mini pin jack, HDMI A. ","0.85"
"The Canon EOS-1Ds Mark II has the following specs: 21.1 x 10.7mm image sensor size, Canon ER mount, supports CANON EEW lenses, 1:2 aspect ratio, RGB color filter, 13mm eyepoint, Eye-level pentaprism, CMAS sensor, 3.9 in monitor, LED Monitor, 0 - 50 C operating temperature, 2780mah battery capacity, 11.9V DC rated voltage battery pack, LP-E9 battery, 85% of less operating humidity, 10 second max sound recording, 69 custom functions, E-TTL II autoflash, Manual Focus, approximately 10000 pixels. 
","0.25"
"The Leica SL2 has the following specs: LCD panel, 3.9 inch monitor, Mechanical shutter, electronic shutter, two stage shutter, 4:3 aspect ratio viewfinder, anti fingerprint coating, 30 cm to infinity working range, 225 autofocus metering fields, 3.5 stereo jack, ½ EV increments, TTL exposure metering, Bluetooth 4.2, 120fps viewfinder, 3:2 lcd panel, eye sensor, Macro setting from 17 cm, WLAN, Mirrorless full frame system, 4GB Buffer memory.","0.95"
